tarih,puan,yorum
2022-05-10,3,Fotoğrafta görülen orijinal kart gelmiyor ama çalışıyor.
2021-02-11,5,Ürün Orjinal.
2022-03-02,5,Ürün yerine kablosuz versiyonunu göndermişler çok hoşuma gitti. Aradığımda biliyoruz dediler. Ürünü 9 nisan 2020 de aldım halen sorunsuz çalışıyor. Çok güzel.
2021-08-30,5,Gerçekten hakkını veren F/P ürünü kargolama güzeldi ürün konusunda bu fiyata alınabilecek en mükemmel ürün satıcıya tekrar teşekkür ediyorum. titreşim için driver indirmek lazım indirip kurduktan sonra sorunsuz ve cidden güzel bir hissiyat veriyor
2021-08-20,5,Ürün gayet kaliteli titreşimli ama tek kötü tarafı kargonun 7 günde gelmesi
2021-02-19,5,harika. çok şanslıyım. Aldım kablosuzu geldi ve geri vermek zorunda olmadığım söylendi. bayılıyorum böyle talihli olaylara
2020-01-03,5,Ürün hakkında yorum yapmak isterdim ama yapamıyorum oğlum oynasin diye kablolu kol almak istedim ama satıcının elinde kalmamış olucakki farklı daha kaliteli ve daha pahalı bir ürün gondermis bu davranışını taktir ettim hiç düşünmeden alın derim kargo desen muazzam derece hizli satıcı dürüst ürününün arkasında duran kaliteli bir firma bunu anladım teşekkürler
2019-02-25,4,Playstation için aldım. Gayet sağlam bir ürün. Tuşlar gayet iyi. Gönderim hızlı yapıldı. Fiyat olarak da uygun sayılır. Parasının karşılığını veriyor.
2018-10-10,5,Gayet kaliteli bir urun.
2019-12-17,2,Çok kaliteli değil tuşlara çok sert basmak gerek takılıyor.
2019-02-23,3,"bu modelinde tak çalıştır özeliği yok
"
2018-06-08,5, Güzel. Bundan pahalı alıp ne yapacağız onunla?
2017-09-08,2,Ürün pek kaliteli değil.
2015-03-17,2,"Ürün 1,5 gün gibi kısa bir sürede elime geçti. Kullanımı rahat duruyor fakat tuşlar biraz sert,umarım zamanla yumuşar.Ayrıca fifa oynayanlara tavsiye etmiyorum,çünkü oyunla tam uyumlu değil ve tuş ayarlarında sıkıntı yaratıyor."
